model_key,status,action,llm_recall_c1,nollm_recall_c1,delta_recall_c1,llm_precision_c1,nollm_precision_c1,delta_precision_c1,llm_precision_status,nollm_precision_status,delta_precision_status,llm_f1_c1,nollm_f1_c1,delta_f1_c1,llm_f1_status,nollm_f1_status,delta_f1_status,llm_acc,nollm_acc,delta_acc,llm_far,nollm_far,delta_far,llm_days,nollm_days,delta_days,llm_days_status,nollm_days_status,delta_days_status,llm_tp,nollm_tp,delta_tp,llm_fp,nollm_fp,delta_fp,llm_fn,nollm_fn,delta_fn,llm_csv,nollm_csv
hds5c3030ala630,FALLBACK,nollm,65.0,95.0,-30.0,17.511904762,0.350680293,17.161224469,OK,OK,OK,30.458553791111115,0.698321037,29.760232754111115,OK,OK,OK,99.882421249,90.112274518,9.770146730999995,0.104553335,9.888836887,-9.784283552,23.33333333333333,21.1,2.2333333333333307,OK,OK,OK,1.0,1.5,-0.5,4.8,454.0,-449.2,0.6,0.1,0.5,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q00_s00_r0_b7zs_D10_H05000_i10.csv,hi7_example/example_hds5c3030ala630_nollm_20140901_20141109_compare_aligned_i10.csv
hds723030ala640,PASS,llm_enabled,100.0,30.0,70.0,100.0,100.0,0.0,OK,OK,OK,100.0,66.66666667,33.33333333,OK,OK,OK,100.0,99.902181299,0.0978187010000084,0.0,0.0,0.0,25.8,1.0,24.8,OK,OK,OK,1.6,0.6,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q00_s00_r0_D10_H05000_i10.csv,/root/autodl-tmp/StreamDFP/hi7_example/example_hds723030ala640_nollm_20140901_20141109_compare_map70_aligned_i10.csv
hgsthms5c4040ale640,PASS,llm_enabled,75.892857142,75.238095239,0.6547619029999936,14.257373484000002,16.353374727000002,-2.096001243,OK,OK,OK,23.445669482,24.645631703,-1.1999622209999998,OK,OK,OK,99.444676824,99.396335882,0.0483409419999958,0.530173434,0.5785756509999999,-0.0484022169999998,13.3125,15.554166667,-2.2416666669999987,OK,OK,OK,5.5,5.5,0.0,35.0,38.2,-3.200000000000003,1.7,1.7,0.0,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hgsthms5c4040ale640_full70_q00_s00_r0_b7zs_D10_H05000_i10.csv,hi7_example/example_hgsthms5c4040ale640_nollm_20140901_20141109_compare_aligned_i10.csv
hi7,PASS,llm_enabled,70.95238095500001,68.09523809800001,2.8571428569999995,15.531042722,16.235856733,-0.7048140109999999,OK,OK,OK,25.444297016,26.1960466,-0.7517495839999988,OK,OK,OK,99.436008999,99.484961922,-0.0489529230000158,0.5263861819999999,0.473106724,0.0532794579999998,11.458571429,11.71,-0.2514285709999999,OK,OK,OK,4.5,4.3,0.2000000000000001,24.7,22.2,2.5,1.8,2.0,-0.1999999999999999,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hi7_compact14_q00_s08_r0_D10_H05000_i10.csv,/root/autodl-tmp/StreamDFP/hi7_example/example_hi7_nollm_20140901_20141109_compare_aligned_i10.csv
hitachihds5c4040ale630,PASS,llm_enabled,0.0,0.0,0.0,,,,UNDEFINED(TP+FP=0; no predicted positives),UNDEFINED(TP+FP=0; no predicted positives),UNDEFINED(both sides undefined: LLM=UNDEFINED(TP+FP=0; no predicted positives); noLLM=UNDEFINED(TP+FP=0; no predicted positives)),,,,UNDEFINED(TP+FP=0; no predicted positives),UNDEFINED(TP+FP=0; no predicted positives),UNDEFINED(both sides undefined: LLM=UNDEFINED(TP+FP=0; no predicted positives); noLLM=UNDEFINED(TP+FP=0; no predicted positives)),99.921340354,99.921340354,0.0,0.0,0.0,0.0,,,,UNDEFINED(TP=0; no true positives),UNDEFINED(TP=0; no true positives),UNDEFINED(both sides undefined: LLM=UNDEFINED(TP=0; no true positives); noLLM=UNDEFINED(TP=0; no true positives)),0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q00_s00_r0_b7zs_D10_H05000_i10.csv,hi7_example/example_hitachihds5c4040ale630_nollm_20140901_20141109_compare_aligned_i10.csv
hms5c4040ble640,FALLBACK,nollm,13.333333332,36.666666668,-23.333333335999995,100.0,100.0,0.0,OK,OK,OK,50.0,75.55555555666666,-25.55555555666666,OK,OK,OK,99.944521498,99.96532594,-0.0208044419999851,0.0,0.0,0.0,6.0,4.666666666666667,1.333333333333333,OK,OK,OK,0.4,1.0,-0.6,0.0,0.0,0.0,1.6,1.0,0.6000000000000001,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hms5c4040ble640_compact14_q00_s00_r0_D10_H05000_i10.csv,/root/autodl-tmp/StreamDFP/hi7_example/example_hms5c4040ble640_nollm_20140901_20141109_compare_map70_aligned_i10.csv
st3000dm001,PASS,llm_enabled,63.74343138,35.727734279,28.015697101,87.04498008,93.377053056,-6.332072975999992,OK,OK,OK,72.54874078200001,50.291550437,22.25719034500001,OK,OK,OK,98.081219614,97.417794833,0.6634247810000033,0.535890464,0.125942241,0.4099482229999999,11.238240607000002,12.675790056,-1.4375494489999987,OK,OK,OK,49.7,29.5,20.200000000000003,10.5,2.4,8.1,27.3,47.5,-20.2,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q55_s08_r1_D10_H05000_i10.csv,/root/autodl-tmp/StreamDFP/hi7_example/example_st3000dm001_nollm_20140901_20141109_compare_map70_aligned_i10.csv
st31500341as,PASS,llm_enabled,70.238095239,68.57142857300002,1.6666666659999834,100.0,96.666666667,3.333333332999999,OK,OK,OK,82.36363636200001,79.93939393800001,2.424242423999999,OK,OK,OK,99.438121346,99.353375584,0.0847457619999971,0.0,0.057471264,-0.057471264,12.585,15.37,-2.785000000000002,OK,OK,OK,4.7,4.6,0.1000000000000005,0.0,0.2,-0.2,2.0,2.1,-0.1,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_st31500341as_compact9_q00_s08_r0_b7zs_D10_H05000_i10.csv,hi7_example/example_st31500341as_nollm_20140901_20141109_compare_aligned_i10.csv
st31500541as,PASS,llm_enabled,68.33333333499999,56.805555555,11.527777779999994,92.954545455,84.444444444,8.510101010999989,OK,OK,OK,77.456043955,64.903295535,12.55274842,OK,OK,OK,99.795681394,99.692716139,0.102965255000015,0.04285091,0.091799289,-0.048948379,10.893333333,10.85,0.0433333329999978,OK,OK,OK,5.5,4.6,0.9000000000000004,0.7,1.5,-0.8,2.7,3.6,-0.8999999999999999,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st31500541as_full70_q00_s00_r0_D10_H05000_i10.csv,/root/autodl-tmp/StreamDFP/hi7_example/example_st31500541as_nollm_contractfix_20140901_20141109_aligned_i10.csv
st4000dm000,FALLBACK,nollm,54.100508187,57.90485601299999,-3.80434782599999,100.0,91.964285714,8.035714286000001,OK,OK,OK,70.154969321,69.016142653,1.138826667999993,OK,OK,OK,99.913700437,99.879513551,0.0341868860000005,0.0,0.04153974,-0.04153974,8.671515150000001,7.686168834,0.9853463160000012,OK,OK,OK,11.2,12.0,-0.8000000000000007,0.0,4.5,-4.5,9.5,8.7,0.8000000000000007,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_st4000dm000_compact14_q00_s00_r0_b7zs_D10_H05000_i10.csv,hi7_example/example_st4000dm000_nollm_20140901_20141109_compare_aligned_i10.csv
wdcwd10eads,FALLBACK,nollm,0.0,90.0,-90.0,,100.0,,UNDEFINED(TP+FP=0; no predicted positives),OK,UNDEFINED(LLM side undefined: UNDEFINED(TP+FP=0; no predicted positives)),,100.0,,UNDEFINED(TP+FP=0; no predicted positives),OK,UNDEFINED(LLM side undefined: UNDEFINED(TP+FP=0; no predicted positives)),99.78902954,99.978902954,-0.1898734140000044,0.0,0.0,0.0,,7.555555555555555,,UNDEFINED(TP=0; no true positives),OK,UNDEFINED(LLM side undefined: UNDEFINED(TP=0; no true positives)),0.0,0.9,-0.9,0.0,0.0,0.0,1.0,0.1,0.9,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_wdcwd10eads_compact9_q00_s00_r0_b7zs_D10_H05000_i10.csv,hi7_example/example_wdcwd10eads_nollm_20140901_20141109_compare_aligned_i10.csv
wdcwd30efrx,PASS,llm_enabled,30.0,0.0,30.0,100.0,,,OK,UNDEFINED(TP+FP=0; no predicted positives),UNDEFINED(noLLM side undefined: UNDEFINED(TP+FP=0; no predicted positives)),100.0,,,OK,UNDEFINED(TP+FP=0; no predicted positives),UNDEFINED(noLLM side undefined: UNDEFINED(TP+FP=0; no predicted positives)),99.900299075,99.857966037,0.0423330379999953,0.0,0.0,0.0,22.0,,,OK,UNDEFINED(TP=0; no true positives),UNDEFINED(noLLM side undefined: UNDEFINED(TP=0; no true positives)),0.3,0.0,0.3,0.0,0.0,0.0,0.7,1.0,-0.3,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_wdcwd30efrx_compact14_q00_s00_r0_b7zs_D10_H05000_i10.csv,hi7_example/example_wdcwd30efrx_nollm_20140901_20141109_compare_aligned_i10.csv
